,CreateProcessInternalW,CreateServiceW,DeleteFileW,FindWindowW,NtCreateFile,NtCreateMutant,NtCreateThreadEx,NtOpenMutant,OpenSCManagerW,NtReadFile,NtReadVirtualMemory,RegDeleteKeyW,RegEnumKeyExW,RegEnumValueW,RegOpenKeyExW,NtTerminateProcess,NtWriteFile,ShellExecuteExW,WriteProcessMemory,URLDownloadToFileW,sizeDrop,score,class
21,4.0,0.0,104.0,8.0,1430.0,22.0,0.0,8.0,2.0,37462.0,12.0,0.0,716.0,20.0,2792.0,12.0,40874.0,0.0,404.0,0.0,196041627.0,7.8,benigno
22,8.0,0.0,20.0,10.0,1218.0,50.0,0.0,10.0,6.0,2016.0,6.0,0.0,382.0,28.0,4130.0,30.0,974.0,2.0,0.0,0.0,4120204.0,6.2,benigno
23,2.0,0.0,576.0,0.0,2720.0,12.0,0.0,4.0,0.0,1214.0,0.0,0.0,76.0,20.0,390.0,6.0,970.0,2.0,0.0,0.0,9333635.0,5.6,maligno
24,2.0,0.0,20.0,42.0,300.0,92.0,2.0,2.0,0.0,728.0,0.0,0.0,432.0,104.0,3676.0,10.0,5152.0,0.0,0.0,0.0,21251669.0,5.8,benigno
25,2.0,0.0,2.0,16.0,730.0,36.0,0.0,8.0,2.0,112.0,6.0,0.0,34.0,30.0,248.0,6.0,0.0,2.0,0.0,0.0,0.0,4.6,benigno
26,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3250.0,42.0,11360.0,12.0,0.0,0.0,11774464.0,4.8,maligno
27,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,7488.0,12.0,0.0,0.0,13557248.0,5.2,maligno
28,0.0,0.0,0.0,16.0,612.0,30.0,2.0,2.0,2.0,3088.0,0.0,0.0,0.0,20.0,656.0,6.0,1298.0,0.0,0.0,0.0,18311038.0,4.6,benigno
29,0.0,0.0,0.0,2.0,294.0,8.0,0.0,2.0,4.0,28.0,0.0,0.0,36.0,6.0,1632.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,benigno
30,4.0,0.0,18.0,12.0,1696.0,38.0,0.0,14.0,4.0,1456.0,0.0,2.0,390.0,32.0,3044.0,18.0,1780.0,0.0,0.0,0.0,10542694.0,4.4,benigno
31,6.0,0.0,4.0,0.0,7634.0,4.0,0.0,0.0,2.0,7062.0,0.0,0.0,0.0,0.0,144.0,24.0,14128.0,4.0,0.0,0.0,0.0,11.0,maligno
32,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6,maligno
33,10.0,0.0,32.0,14.0,642.0,74.0,0.0,14.0,6.0,3004.0,12.0,2.0,822.0,78.0,2898.0,32.0,2260.0,6.0,0.0,0.0,36649338.0,8.6,benigno
34,2.0,0.0,3.0,3.0,261.0,26.0,0.0,1.0,0.0,446.0,0.0,0.0,9.0,0.0,777.0,0.0,227.0,0.0,0.0,0.0,34247.0,5.6,benigno
35,36.0,0.0,6.0,2.0,26258.0,14.0,0.0,0.0,0.0,22192.0,0.0,0.0,0.0,0.0,28.0,120.0,20826.0,6.0,8.0,0.0,393216.0,13.4,maligno
36,24.0,0.0,7384.0,0.0,31574.0,290.0,6.0,262.0,38.0,8134.0,0.0,0.0,166.0,84.0,1846.0,42.0,15048.0,6.0,0.0,0.0,43176082.0,14.2,maligno
37,76.0,0.0,110.0,30.0,1990.0,94.0,2.0,12.0,4.0,6070.0,6.0,182.0,450.0,118.0,6498.0,218.0,6156.0,4.0,0.0,0.0,79450457.0,9.4,benigno
38,2.0,0.0,0.0,12.0,4.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,6.8,maligno
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,benigno
40,4.0,0.0,22.0,6.0,310.0,42.0,2.0,8.0,4.0,402.0,6.0,0.0,764.0,20.0,2210.0,12.0,224.0,0.0,0.0,0.0,6772087.0,4.6,benigno
41,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,maligno
42,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,12516.0,12.0,0.0,0.0,12958720.0,5.2,maligno
43,2.0,0.0,26.0,12.0,1772.0,74.0,0.0,12.0,2.0,1222.0,6.0,0.0,382.0,0.0,7300.0,12.0,596.0,2.0,0.0,0.0,5183058.0,8.2,benigno
44,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,2768.0,12.0,0.0,0.0,11468288.0,5.2,maligno
45,12.0,2.0,2.0,0.0,86.0,34.0,8.0,14.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,13096.0,12.0,0.0,0.0,13547520.0,5.2,maligno
46,2.0,0.0,36.0,4.0,1150.0,4.0,0.0,4.0,2.0,796.0,0.0,0.0,382.0,20.0,3102.0,12.0,996.0,0.0,0.0,0.0,12023622.0,4.0,benigno
47,8.0,0.0,54.0,8.0,562.0,64.0,4.0,16.0,4.0,1248.0,12.0,0.0,764.0,20.0,2578.0,24.0,558.0,0.0,0.0,0.0,13101665.0,5.4,benigno
48,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3250.0,42.0,12062.0,12.0,0.0,0.0,12493312.0,4.8,maligno
49,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3250.0,42.0,1300.0,12.0,0.0,0.0,12433408.0,5.2,maligno
50,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18544.0,0.0,12.0,0.0,0.0,6.6,maligno
51,34.0,4.0,388.0,4.0,9382.0,138.0,16.0,30.0,34.0,22560.0,12.0,282.0,1004.0,550.0,12448.0,80.0,9158.0,6.0,0.0,0.0,42241459.0,7.8,benigno
52,6.0,0.0,8.0,12.0,1068.0,98.0,2.0,10.0,6.0,110.0,0.0,0.0,1252.0,360.0,3306.0,6.0,452.0,4.0,0.0,0.0,4618050.0,9.0,benigno
53,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,8316.0,12.0,0.0,0.0,15041024.0,5.2,maligno
54,0.0,0.0,2.0,2.0,290.0,8.0,0.0,2.0,4.0,26.0,0.0,0.0,32.0,6.0,1646.0,0.0,82.0,0.0,0.0,0.0,184738.0,4.6,benigno
55,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,12244.0,12.0,0.0,0.0,12676096.0,5.8,maligno
56,0.0,0.0,0.0,2.0,34.0,16.0,0.0,2.0,0.0,546.0,0.0,32.0,762.0,110.0,830.0,0.0,36.0,0.0,0.0,0.0,1057695.0,1.2,benigno
57,2.0,0.0,9.0,7.0,2035.0,37.0,0.0,7.0,2.0,1418.0,0.0,1.0,191.0,15.0,2497.0,6.0,2849.0,0.0,0.0,0.0,90332819.0,4.0,benigno
58,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,7288.0,12.0,0.0,0.0,13195264.0,5.2,maligno
59,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3250.0,42.0,1326.0,12.0,0.0,0.0,12679680.0,5.8,maligno
60,12.0,2.0,2.0,0.0,86.0,34.0,8.0,14.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,13512.0,12.0,0.0,0.0,13972992.0,5.2,maligno
61,12.0,2.0,2.0,0.0,86.0,34.0,8.0,14.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,13610.0,12.0,0.0,0.0,14073344.0,5.2,maligno
62,32.0,0.0,40.0,50.0,3224.0,40.0,8.0,12.0,4.0,7556.0,12.0,2.0,764.0,32.0,4304.0,102.0,7076.0,0.0,1352.0,0.0,57540301.0,10.6,benigno
63,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,8390.0,12.0,0.0,0.0,15173632.0,5.8,maligno
64,8.0,2.0,66.0,10.0,14894.0,92.0,6.0,8.0,32.0,21394.0,0.0,0.0,382.0,20.0,5388.0,30.0,18570.0,0.0,0.0,0.0,225006934.0,10.2,benigno
65,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,2562.0,12.0,0.0,0.0,10624512.0,6.4,maligno
66,14.0,0.0,6.0,24.0,1372.0,62.0,12.0,4.0,2.0,41836.0,8.0,0.0,10.0,44.0,2152.0,34.0,258.0,2.0,0.0,0.0,3347481.0,7.0,benigno
67,6.0,0.0,52.0,22.0,1220.0,92.0,2.0,10.0,4.0,1054.0,0.0,6.0,398.0,38.0,2510.0,24.0,1536.0,0.0,0.0,0.0,26883035.0,4.0,benigno
68,0.0,0.0,8.0,0.0,66.0,4.0,2.0,0.0,4.0,284.0,0.0,0.0,0.0,76.0,194.0,6.0,22.0,0.0,0.0,0.0,26000.0,2.2,benigno
69,0.0,0.0,0.0,4.0,246.0,10.0,0.0,2.0,2.0,44.0,0.0,0.0,32.0,6.0,1048.0,6.0,6.0,0.0,0.0,0.0,170.0,3.8,benigno
70,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,10262.0,12.0,0.0,0.0,10644992.0,5.2,maligno
71,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,10804.0,12.0,0.0,0.0,11205120.0,5.2,maligno
72,14.0,0.0,56.0,28.0,1910.0,120.0,2.0,12.0,2.0,2116.0,12.0,0.0,764.0,404.0,3454.0,46.0,2246.0,0.0,0.0,0.0,63481587.0,8.0,benigno
73,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,7598.0,12.0,0.0,0.0,13754368.0,5.2,maligno
74,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3250.0,42.0,14926.0,12.0,0.0,0.0,15426048.0,4.8,maligno
75,2.0,0.0,54.0,22.0,2004.0,38.0,0.0,14.0,4.0,2578.0,0.0,2.0,712.0,30.0,3158.0,12.0,5674.0,0.0,0.0,0.0,148969430.0,4.2,benigno
76,2.0,0.0,0.0,12.0,4.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,6.8,maligno
77,2.0,0.0,2.0,0.0,26.0,0.0,0.0,2.0,0.0,1176.0,0.0,0.0,382.0,0.0,450.0,12.0,2.0,0.0,0.0,0.0,3102448.0,2.4,benigno
78,1.0,0.0,15.0,3.0,168.0,24.0,1.0,5.0,2.0,241.0,0.0,1.0,191.0,15.0,860.0,6.0,109.0,0.0,0.0,0.0,4672222.0,3.6,benigno
79,2.0,0.0,0.0,12.0,4.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,6.8,maligno
80,4.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,0.0,184320.0,5.4,maligno
81,4.0,0.0,30.0,8.0,1788.0,52.0,2.0,16.0,6.0,2484.0,12.0,2.0,382.0,30.0,2726.0,18.0,1746.0,0.0,0.0,0.0,15367940.0,5.8,benigno
82,4.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,8.0,maligno
83,2.0,0.0,6.0,16.0,144.0,12.0,0.0,10.0,2.0,24140.0,2.0,0.0,8.0,20.0,116.0,6.0,586.0,0.0,0.0,0.0,238615090.0,2.8,benigno
84,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,5850.0,12.0,0.0,0.0,10618368.0,5.2,maligno
85,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3250.0,42.0,12126.0,12.0,0.0,0.0,12558848.0,5.4,maligno
86,8.0,0.0,2.0,24.0,1014.0,68.0,0.0,22.0,2.0,150.0,24.0,0.0,34.0,30.0,292.0,6.0,0.0,2.0,0.0,0.0,0.0,3.4,maligno
87,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,11968.0,12.0,0.0,0.0,12392448.0,5.2,maligno
88,2.0,0.0,20.0,16.0,1344.0,74.0,0.0,10.0,2.0,15178.0,12.0,0.0,52.0,20.0,2190.0,6.0,9248.0,2.0,0.0,0.0,407984463.0,7.8,benigno
89,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,14274.0,12.0,0.0,0.0,14753280.0,5.8,maligno
90,6.0,0.0,12.0,30.0,3266.0,44.0,0.0,18.0,4.0,4182.0,6.0,2.0,390.0,30.0,5898.0,18.0,13022.0,0.0,0.0,0.0,341965322.0,6.4,benigno
91,2.0,0.0,6.0,22.0,822.0,110.0,0.0,16.0,2.0,554.0,12.0,4.0,0.0,26.0,2002.0,6.0,702.0,2.0,0.0,0.0,8030510.0,5.6,benigno
92,0.0,0.0,6.0,0.0,22.0,4.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8044.0,1.4,benigno
93,6.0,0.0,36.0,24.0,2568.0,80.0,0.0,12.0,4.0,1578.0,6.0,2.0,400.0,42.0,2970.0,24.0,2018.0,2.0,0.0,0.0,24036291.0,5.6,benigno
94,12.0,2.0,2.0,0.0,86.0,34.0,8.0,14.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,11250.0,12.0,0.0,0.0,11656704.0,5.2,maligno
95,14.0,0.0,4.0,20.0,400.0,136.0,8.0,6.0,24.0,570.0,0.0,0.0,512.0,110.0,3482.0,36.0,458.0,4.0,0.0,0.0,10069160.0,12.2,maligno
96,8.0,0.0,24.0,20.0,2024.0,40.0,0.0,6.0,2.0,32526.0,6.0,0.0,714.0,20.0,3304.0,30.0,38332.0,0.0,0.0,0.0,180288673.0,5.4,benigno
97,4.0,0.0,26.0,72.0,530.0,56.0,0.0,12.0,6.0,1804.0,6.0,2.0,386.0,78.0,2318.0,12.0,818.0,4.0,0.0,0.0,14497752.0,6.2,benigno
98,56.0,0.0,3990.0,44.0,4708.0,78.0,6.0,8.0,2.0,8914.0,12.0,0.0,52.0,148.0,3176.0,138.0,9064.0,0.0,0.0,0.0,4815868085.0,20.4,maligno
99,48.0,0.0,108.0,6.0,1136.0,68.0,0.0,4.0,6.0,2096.0,18.0,0.0,764.0,20.0,6114.0,9.0,1054.0,0.0,0.0,0.0,24499989.0,8.8,benigno
100,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,10662.0,12.0,0.0,0.0,11056128.0,5.2,maligno
101,18.0,2.0,82.0,12.0,2490.0,106.0,6.0,34.0,18.0,18310.0,6.0,0.0,866.0,22.0,5134.0,54.0,16464.0,8.0,0.0,2.0,111953070.0,8.2,benigno
